ད་,དེ་,25
ཤིང་,ཤིན་,2
ཀྱི་,གྱི་,2
སྤྲྀ་,སྤྲི་,73
ཀྱིས་,གྱིས་,36
མ་,མི་,42
མ་,མི་,51
ཀྱི་,གྱི་,87
མོད་,མདོ་,89
དགས་,དྭགས་,33
སྟོང་འད་,སྟོང་འདྲ་,42
མནོན་,གནོན་,35
སར་,སེར་,2
ཚོས་,ཚོང་,3
ཏ་,ཏེ་,73
ཤ་,ཤོ་,54
སྒྱིན་,སྦྱིན་,63
རྐྱག་,སྐྱག་,46
གྱི་,ཀྱི་,1
རྐྱག་,སྐྱག་,64
རྐད་,རྐང་,94
གཉར་,གཉེར་,11
གང་ངས་,གང་དག་,66
,
འཆིའོ,མཆིའོ,11
གར་,ག་ར་,79
གྱི,ཀྱི,11
རྡུལ་,རྔུལ་,67
བྲ་,ཕྲ་,51
དང་,དྭངས་,42
རྐྱག་,སྐྱག་,41
རིང་,རིན་,5
བསང་,བསྲང་,1
ཞས་,ཞེས་,42
བྱད་,བྱེད་,5
སྟ་,སྟེ་,44
དམྱལ་,དམྱལ་བ་,69
ཞས་,ཞེས་,51
སྒག་,སྒེག་,83
ཉ་,ཉེ་,101
ཐག་,ཐེག་,76
བགྲུབས་,བཀླུབས་,92
ཞེས་,ཤེས་,48
དག་,དྭྭགས་,80
ཕྲ་,ཕྲག་,42
རྐྱག་,སྐྱག་,54
ཆེས་,ཆོས་,95
བདན་,བདེན་,4
འཆིའོ,མཆིའོ,1
མཁྲགས་,མཁྲེགས་,10
གྲོག་,གྲོགས་,87
སྣན་,སྨན་,33
བསྟན་,བསྟེན་,34
བརྙིལ་,བསྙིལ་,73
མི་,མེ་,67
མཆེར་པ,མཚེར,68
ཤས་,ཤེས་,14
ཚིག་,ཆིག་,95
བརྙིལ་,བསྙིལ་,91
སྟེ་,ཏེ་,48
འདྲས་,འབྲས་,89
བྱཱུ,བྱཱུ,51
བཅགས་,བཙགས་,5
རྣམ་,རྣམས་,102
ཆུད་,ཚུད་,42
གྱིས་,ཀྱིས་,36
ཐང་,ཐེངས་,79
ལྔང་,ལྡང་,82
དས་,དེས་,51
ཀྱི་,གི་,91
དག་,ངག་,89
ཅག་,ཅིག་,2
ཆན་,ཆེན་,2
མེ་,མི་,43
འགྲིན་,མགྲིན་,80
འཚམས་,མཚམས་,41
འཇིན་,འཇིག་,50
ལན་,ལྡན་,1
གྱི་,ཀྱི་,48
བརྡོགས་,བཟློགས་,92
བ་,བལྟར་,35
དུར་,དུད་,51
གྱིས་,ཀྱིས་,49
ལེབ་རྒན་,ལེ་བརྒན་,43
བཏན་,གཏན་,43
རང་,རབ་,56
བསྐོད་,བསྐོར་,42
རྐེང་,ཀེང་,38
གྱི་,ཀྱི་,43
བལྟར་,ལྟར་,7
སྙེད་,རྙེད་,55
འགྲོང་,འགྲོར་,43
ལོང་,ལང་,11
བར་པར་,བར་,27
ཀྱི་,གྱི་,48
པོ།,བོ།,42
གཟུག་,གཟུགས་,80
ཅིག་,ཤིག་,79
བྱད,བྱེད,5
འཕག་,འཕགས་,2
ལ་,ལས་,41
སྦམ་,སྦོམ་,6
ཐས་,ཐོས་,76
གྱི་,ཀྱི་,29
བཅོང་,བཙོང་,53
གྱི་,ཀྱི་,47
ཀྱི་,གྱི་,43
འདུག,འཇུག,14
བལ་,བྲལ་,51
སྟན་,སྟེན་,13
གྱི་,ཀྱི་,24
བྱེད་,ཁྱེད་,51
དས་,དེས་,13
འགྲེན་,འགྲན་,16
སྟང་,སྟོང་,11
ལགས་,ལོགས་,10
ཧུྃ་,ཧཱུྃ་,83
འཇིན་,འཛིན་,98
སྟེན་,སྟོན་,51
ཞིང་,ཞེང་,11
དུ་,ཏུ་,2
འགྲིན་,མགྲིན་,51
བྲས་,བྲེས་,10
གྱི་,ཀྱི་,19
དར་,དེར་,42
གྱིས་,ཀྱིས་,11
ཁྱར་,ཁྱེར་,13
པི་བང་,ཝང་,41
ཀྱིས་,གྱིས་,49
སྦྱུགས་,སྤྱུགས་,4
དགྲ་,སྒྲ་,54
ལན་,ལེན་,1
སྟ་,ལྟ་,2
རཱུ,ཌཱུ,38
བརྫོད་,བརྗོད་,10
ཆས་,ཆོས་,11
ཁམ་,ཁམས་,41
མནོན་,གནོན་,57
དབྲལ་,དཔྲལ་,80
དགས་,དྭགས་,91
གྱི་,ཀྱི་,5
མཛོག,མཛོད,99
ཀྱི་,གྱི་,1
ཅིགི་,ཅིག་,69
དབྱད,དཔྱད,79
ཁྱད་,ཁྱེད་,1
ད་,དེ་,33
ཀྱི་,གྱི་,10
གཏབ་,གདབ་,36
ད་,དེ་,51
རྩ་,རྩྭ་,2
བཻདཱུརྱ་,བཻ་ཌཱུརྱ་,58
ཀྱིས་,གྱིས་,71
བལྟར་,ལྟར་,90
གདའི་,གདའོ་,42
པའི་,པ་,25
རྣམ་,རྣལ་,91
ལགས་,ལེགས་,5
ཅེས་,ཞེས་,27
སྦུ་,སྤུ་,96
སྦྱན་,སྦྱིན་,95
ཀྱི་,གྱི་,14
ངས་,ངེས་,42
མཆེར་,མཚེར་,68
གྱིས་,ཀྱིས་,95
བར་,པར་,36
མྱད་,མྱེད་,21
མནོན་,གནོན་,38
དུ་,ཏུ་,5
འོང་,འོད་,33
འམ་,མམ་,42
ད་,དེ་,14
བསྡངས་,བསྔངས་,38
ཆ་,ཆེ་,10
ཨོ་,ཨོཾ་,80
དས་,དེས་,2
མད་,མེད་,13
བར་,པར་,4
ཕྱད་,ཕྱེད་,10
རྒྱས་,རྒྱལ་,43
ཐག་,ཐ་ག་,83
བརྙིལ་,བསྙིལ་,95
བས་,བོས་,2
རྐྱག་,སྐྱག་,44
རྟན་,རྟེན་,3
ནམཁའ་,ནམ་མཁའ་,84
ས,སོ,2
དུ་,ངུ་,33
ཡིང་,ཡང་,73
བཾ་,བྃ་,81
ཀྱི་,གྱི་,89
ཨུ་དུམ་པ་ར་,ཨུ་དུམ་བཱ་ར་,36
དགས་,དྭགས་,44
ཕུ་,ཕུག་,76
རྣམ་,རྣམས་,25
མནོན་,གནོན་,46
ཆངས་,ཚངས་,51
བཏར་,བཏང་,42
་,།།,78
པའི་,བའི་,41
ཏནྟ་,ཏནྟྲ་,83
རྐྱག་,སྐྱག་,66
མཁོ་,མ་ཁོ་,42
བསྒྲས་,བསྒྲེས་,58
བོད་,པོད་,79
བལྟར་,ལྟར་,52
གྱིས་,ཀྱིས་,71
བལྟར་,ལྟར་,61
སླུ་,སྦུ་,83
འཐིང་,ཐང་,80
འགྲིན་,མགྲིན་,97
དྲན་,བྲན་,1
གེདྷཱ་,ག་དྷཱ་,72
ཐོ་བ་,ཐོས་,41
ཀྱིས་,གྱིས་,10
བལྟར་,ལྟར་,47
བྱིས་,གྱིས་,14
ན,ནོ,8
སྐྱར་,སྐྱེར་,42
གློགས་,སློགས་,70
དགས་,དྭགས་,16
དྲའ,དྲའོ,1
མདོན་,མངོན་,36
མནོན་,གནོན་,36
བྱཱུ,བྱཱུ,40
གཽ་,གཽ་ཏ་,2
འཇིན་,འཇིག་,89
འཚད་,ཚལ་,40
བལྟར་,ལྟར་,33
གཉན་,གཉེན་,71
སྨིག་,སྨྲིག་,7
ཅིད་,ཅིང་,48
དའི་,དེའི་,43
ཆད་,ཅད་,65
དགས་,དྭགས་,38
ཤས་,ཤེས་,25
ཆབས་,ཆ་བས་,4
དྲས་,དྲངས་,10
ད་,དེ་,101
སྟིག་,སྡིག་,23
ད།,དོ།,67
