ན་སིད་དྷི་,ན་སིད་དྷི་
ལ་བེེ་,ལ་བཻ་
པོ་མ་དྷུ་,པོ་མ་དྷུ་
ཏ་ནི་རྒ,ཏ་ནིརྒ
བཱ་ཡུདྷཱ་,བཱ་ཡུདྷཱ་
བཤེས་དང༌ཉེ་,བཤེས་དང་ཉེ་
ཨཱ་ཀཌྜྷ◌ྱ་,ཨཱ་ཀཌྜྷྱ་
ཨཱརྱ་བྷ་,ཨཱརྱ་བྷ་
རུས་པ་མསོགས།,རུས་པ་སོགས།
ཨདྡྷུ་,ཨདྡྷུ་
་སྭ་བྷཱ་,་སྭ་བྷཱ་
པོ་པཀྵུ་,པོ་པཀྵུ་
ཻ་,ྲྀ་
བྱིན་བརླབསས་,བྱིན་བརླབས་
དེ་རིང་་གྲུབ་,དེ་རིང་གྲུབ་
།དུད་,།ངུད་
ཏུ་ཕྱིན་ནང་,ཏུ་ཕྱིནད་
ེ་ཙཀྲ་བྷ་,ེ་ཙཀྲ་བྷ་
སྡིགས་མཇུ,སྡིགས་མཛུ
སེ་སིདྡྷ་,སེ་སིདྡྷ་
་ཨཱཿཧཱོུཾ།,་ཨཱཿཧཱུྃ།
སོགས་པས་བྷ་,སོགས་པས་བྷ་
བའི་སྒྲས་ཪང་,བའི་སྒྲས་རང་
ར་ཁ་གྷ།,ར་ཁ་གྷ།
ཧོཿ བྷ་,ཧོཿ བྷ་
རིའི་བུ༌མེད་,རིའི་བུ་མེད་
་།,།
ཏན་,ན་
བཛྲ་སྭ་བྷཱ་,བཛྲ་སྭ་བྷཱ་
བཻཌཱུརྱཱ་,བཻཌཱུརྱཱ་
ག་དྷུ་,ག་དྷུ་
སྐར་མ་གྷཱ་,སྐར་མ་གྷཱ་
མེ་སྟམྦྷ་,མེ་སྟམྦྷ་
པ་དང༌བྱེད་,པ་དང་བྱེད་
བཅྭ་ལྡ་,བཅྭ་ལྔ་
དམིགས་ཤིང༌།,དམིགས་ཤིང་།
ཎི་པྲ་བྷྲྀ་,ཎི་པྲ་བྷྲྀ་
བཛྲ་ཀྲོ་དྷཱ་,བཛྲ་ཀྲོ་དྷཱ་
ལ་སོགས་ཀྵ་,ལ་སོགས་ཀྵ་
གནས་པ་ར།,གནས་པར།
མཛད་ཅིང༌།,མཛད་ཅིང་།
ལུ་ཀོ་,ལུ་ཀ་
མི་བགྱིི།,མི་བགྱི།
ཨྃཿཁཾ་དྷཱིཿ།,ཨྃཿཁཾ་དྷཱིཿ།
་བིདྱཱ་དྷཱ་,་བིདྱཱ་དྷཱ་
རེག་པརི་,རེག་པའི་
གྷ་པྭ་པཱ་,གྷ་པཱ་
རྨ་རཀྵེ།,རྨ་རཀྵེ།
གཏོང་དང༌།,གཏོང་དང་།
ཙ་ཁ་གྷ།,ཙ་ཁ་གྷ།
མེད་ལྔ་།,མེད་ལྔ།
ཁྱོད་ལ་བྷཾ་,ཁྱོད་ལ་བྷཾ་
བི་པ་བྷ་,བི་པ་བྷ་
བརྩམས་ཤིང༌ཡུལ་,བརྩམས་ཤིང་ཡུལ་
བྱ་ཞིང༌།,བྱ་ཞིང་།
་བར་འགྱ,་བར་བྱ
དྷཱཾཿཧ།,དྷཱཾཿཧ།
ས་དྷཱ་དྷ་,ས་དྷཱ་དྷ་
ས་མཱ་དྷྱ་,ས་མཱ་དྷྱ་
སཾ་བྷ་,སཾ་བྷ་
ཧི་བྷ་,ཧི་བྷ་
གཅིག་ཀྱང་་རྗེས་,གཅིག་ཀྱང་རྗེས་
བ་དང༌།,བ་དང་།
འོས་ཤིང༌།,འོས་ཤིང་།
བྱེད་ཅིག།། །,བྱེད་ཅིག། །
ནི་རྣམ་བར་,ནི་རྣམ་པར་
རུད་དྷ་,རུད་དྷ་
ྲི,ྡིག་གི
གཅིག་སྒྲན་,གཅིག་སྐྲན་
བར་,པར་
མེ་ཛཿཧཱུྃ་,མེ་ཛཿཧཱུྃ་
ལག་པས་བྷ་,ལག་པས་བྷ་
་སྟཾ་བྷ་,་སྟཾ་བྷ་
ལ་ནི་྄བསད་,ལ་ནི་བསད་
རྣམས་ནི༌དྲན་,རྣམས་ནི་དྲན་
ཐ་སཱ་དྷ་,ཐ་སཱ་དྷ་
