ཆུང་,ཆུབ་
ལྔ་འདི་,ལྔའི་དེ་
བྱང་,བྱེད་
མ,་མརྒ་
ཀྱི་,གྱི་
རབ་,རང་
ཀུ་མ་,ཀུ་མུ་
ལམ་,ལ་མ་
སོུ་,སུ་
ཐག་,ཟག་
པ་འ་,པའི་
བལྟར་,ལྟར་
སྦྱད་,སྤྱད་
བདེའི་,པ་དེའི་
ལྷུག་,ལྷག་
རྫེས་,རྗེས་
ཏ་,ཏེ།
བོཟངས་,"{བཟངས་,བཟང་}"
ཧཱུ,ཧཱུཾ
སྟན་,ལྟ་ན་
ལོན་,ལེན་
ད་ར་,དང་
གོས་,གསོ་
གོར་,ཀོར་
ལའི་,ལེའི་
གླུབ་,གྲུབ་
ཀློག་,གློག་
བརྩོམ་,བརྩོན་
གསད་པའི་,གསང་བའི་
ཉི་,ཉེ་
སཱ་,སྥ་
བང་,པར་
མངེད་,མཇེད་
ན་ག་,ནག་
ཆུང་,ཅུང་
ལྟུང་,ལྷུང་
སས་,སུས་
དོ་ན་,དོན་
ཕྲག་,ཕྱག་
ཧ་ས་,ཧས་
དོ་,དེ་
ཕྱེག་,ཕྱེད་
རྣམ་པ་,རྣམ་
ཟ་,ཐ་
ཆད་,ཆང་
སྒྱར,སྦྱར
གཞིང་,གཞིར་
ཕལ་,ཕུལ་
པ་ན་,པན་
འགྲེལ་,འགྲོལ་
རྣམསོ,རྣམས་སོ
བཀྲས་,བཀྲེས་
ནས་,ན་ས་
གཙུངས་,གཙུབས་
དེད་,དེང་
གྲོས་,གྲོལ་
དན་,དོན་
དབེ་,དཔེ་
ཅི་,མི་
བྱུང་,ཕྱུང་
ལགྱུར,འགྱུར
་ད་,དེ་
དག་པ་,དག་
རྩི་,རྩིའི་
ལ་,ལྭ་
མཁའ་བྱེད་,མ་ཁ་འབྱེད་
ཆུད་,ཆད་
ཆེའི་,ཚེའི་
དེ་བྱེན་,དབྱེན་
དན་,ངན་
དུང་,རུང་
ཁོར་,ཁོ་ར་
ཐམས་,ཐམས་ཅད་
འམ་,རམ་
སྲད་,སྲང་
བོངས་,བོང་
བདེ་ན་,བདེན་
དམུན་,དམུས་
གེའུ་,གྲེའུ་
བཅས་པ་,བཅས་
མཚམ་,མཚམས་
སྟཱཾ་,སྟྭཾ་
བྷུ་,བྷྲཱུཾ་
ཥྚྭིཿ,ཥྚྲཱྀཿ
ཆུབ་,ཆུབ་སེམས་
ལྟོ་,ལྷོ་
མ་ཆོག་,མཆོག་
ཟེན་,ཟན་
ཡེལ་,ཡོལ་
ཕུང་,ཕུད་
ཁམ་,ཁོམ་
མགོས་,མ་གོས་
བསྟེ་,བ་སྟེ་
འདེས་,འདེབས་
དེང་,དོང་
མཉས་,མཉེས་
སྟོན་,སྟོང་
གཡུད་,གཡུང་
སྦྲ་,སྤྲ་
གསང་,གསུང་
ཐབས་,ཐམས་
པོའི་དི་,པོ་འདི་
གཏོང་,གཏོད་
དཔོག་,དབོག་
དུན་,ངུན་
བཞིན་,བ་བཞིན་
ལ་,གལ་
ས་,སུ་
སྙི་,སྙིང་
བཀད་,བཀང་
འདྲོན་,འདྲེན་
རྟམ་,རྟ་
ཟང་,ཟད་
སྲ་,སྭ་
མཐོར་,མཐོང་
འདགས་,འདོགས་
ད་པེས་,དཔེས་
ཕ་,པ་
འདོ་,འོད་
ད་,ཏ་
དུས་,དུ་ས་
ཏནྟ་,ཏནྟྲ་
ཕ་མ་,ཕམ་
དད་,ངང་
གི་,ཀྱི་
ཐོང་,ཐོད་
དག་,དྲག་
སྐུལ་,སྐུ་ལ་
དུང་,ཕུང་
